VolcanoID,V_Name,Country,Region,Subregion,Latitude,Longitude,PEI,H_active,VEI_Holoce,hazard,class,risk
210010,West Eifel Volcanic Field,Germany,Mediterranean and W Asia,Western Europe,50.170000000000000,6.850000000000000,6,0,Unknown VEI,NULL,U-HR,NULL
210020,Cha?ne des Puys,France,Mediterranean and W Asia,Western Europe,45.774999999999900,2.970000000000000,7,0,Unknown VEI,NULL,U-HR,NULL
210030,Olot Volcanic Field,Spain,Mediterranean and W Asia,Western Europe,42.170000000000000,2.530000000000000,5,0,No confirmed eruptions,NULL,U-NHHR,NULL
210040,Calatrava Volcanic Field,Spain,Mediterranean and W Asia,Western Europe,38.869999999999900,-4.020000000000000,6,0,Unknown VEI,NULL,U-HR,NULL
211001,Larderello,Italy,Mediterranean and W Asia,Italy,43.250000000000000,10.869999999999900,4,0,3,NULL,U-HR,NULL
211003,Vulsini,Italy,Mediterranean and W Asia,Italy,42.600000000000000,11.930000000000000,5,0,Unknown VEI,NULL,U-HR,NULL
211004,Alban Hills,Italy,Mediterranean and W Asia,Italy,41.729999999999900,12.699999999999900,7,0,No confirmed eruptions,NULL,U-NHHR,NULL
211010,Campi Flegrei,Italy,Mediterranean and W Asia,Italy,40.826999999999900,14.138999999999900,7,1,5,3,NULL,3
211020,Vesuvius,Italy,Mediterranean and W Asia,Italy,40.820999999999900,14.426000000000000,7,1,5,3,NULL,3
211030,Ischia,Italy,Mediterranean and W Asia,Italy,40.729999999999900,13.897000000000000,5,0,3,NULL,U-HR,NULL
211031,Palinuro,Italy,Mediterranean and W Asia,Italy,39.479999999999900,14.830000000000000,2,0,Unknown VEI,NULL,U-HR,NULL
211040,Stromboli,Italy,Mediterranean and W Asia,Italy,38.789000000000000,15.212999999999900,3,1,3,1,NULL,1
